,harmonised_code,teryt,teryt_woj,teryt_pow,nuts3_code,nuts_0,nuts_1,nuts_2,nuts_3,pow_name,pow_prefix,woj_name,woj_prefix,nuts_1_name,nuts_1_prefix,nuts_2_name,nuts_2_prefix,nuts3_name,nuts_3_prefix
158,T_1427,T_1427,14,27,PL923,PL,9,2,3,sierpecki,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,płocki,podregion
159,T_1462,T_1462,14,62,PL923,PL,9,2,3,Płock,powiat m.,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,płocki,podregion
160,T_1405,T_1405,14,5,PL913,PL,9,1,3,grodziski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski zachodni,podregion
161,T_1414,T_1414,14,14,PL913,PL,9,1,3,nowodworski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski zachodni,podregion
162,T_1418,T_1418,14,18,PL913,PL,9,1,3,piaseczyński,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski zachodni,podregion
163,T_1421,T_1421,14,21,PL913,PL,9,1,3,pruszkowski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski zachodni,podregion
164,T_1432,T_1432,14,32,PL913,PL,9,1,3,warszawski zachodni,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski zachodni,podregion
165,T_1406,T_1406,14,6,PL926,PL,9,2,6,grójecki,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,żyrardowski,podregion
166,T_1428,T_1428,14,28,PL926,PL,9,2,6,sochaczewski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,żyrardowski,podregion
167,T_1438,T_1438,14,38,PL926,PL,9,2,6,żyrardowski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,mazowiecki regionalny,region,żyrardowski,podregion
168,T_1408,T_1408,14,8,PL912,PL,9,1,2,legionowski,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski wschodni,podregion
169,T_1412,T_1412,14,12,PL912,PL,9,1,2,miński,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski wschodni,podregion
170,T_1417,T_1417,14,17,PL912,PL,9,1,2,otwocki,powiat,mazowieckie,województwo,województwo mazowieckie,makroregion,warszawski stołeczny,region,warszawski wschodni,podregion
