year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2000,T_0602,Powiat biłgorajski,104.0,512.0
2000,T_0603,Powiat chełmski,97.0,304.0
2000,T_0604,Powiat hrubieszowski,114.0,289.0
2000,T_0606,Powiat krasnostawski,122.0,269.0
2000,T_0618,Powiat tomaszowski,130.0,374.0
2000,T_0620,Powiat zamojski,127.0,498.0
2000,T_0662,Powiat m. Chełm,121.0,239.0
2000,T_0664,Powiat m. Zamość,115.0,279.0
2000,T_0608,Powiat lubartowski,100.0,471.0
2000,T_0609,Powiat lubelski,141.0,610.0
2000,T_0610,Powiat łęczyński,106.0,214.0
2000,T_0617,Powiat świdnicki,102.0,297.0
2000,T_0663,Powiat m. Lublin,642.0,1270.0
2000,T_0605,Powiat janowski,38.0,221.0
2000,T_0607,Powiat kraśnicki,137.0,472.0
2000,T_0611,Powiat łukowski,90.0,686.0
2000,T_0612,Powiat opolski,109.0,284.0
2000,T_0614,Powiat puławski,166.0,496.0
2000,T_0616,Powiat rycki,71.0,328.0
2000,T_1801,Powiat bieszczadzki,88.0,205.0
2000,T_1802,Powiat brzozowski,45.0,343.0
2000,T_1805,Powiat jasielski,98.0,560.0
2000,T_1807,Powiat krośnieński,74.0,520.0
2000,T_1817,Powiat sanocki,131.0,401.0
2000,T_1861,Powiat m. Krosno,73.0,203.0
2000,T_1804,Powiat jarosławski,129.0,495.0
2000,T_1809,Powiat lubaczowski,77.0,260.0
2000,T_1813,Powiat przemyski,82.0,330.0
2000,T_1814,Powiat przeworski,67.0,403.0
2000,T_1862,Powiat m. Przemyśl,117.0,232.0
2000,T_1806,Powiat kolbuszowski,55.0,251.0
2000,T_1810,Powiat łańcucki,64.0,363.0
2000,T_1815,Powiat ropczycko-sędziszowski,66.0,368.0
2000,T_1816,Powiat rzeszowski,153.0,833.0
2000,T_1819,Powiat strzyżowski,79.0,287.0
2000,T_1863,Powiat m. Rzeszów,261.0,567.0
2000,T_1803,Powiat dębicki,93.0,626.0
2000,T_1808,Powiat leżajski,74.0,290.0
2000,T_1811,Powiat mielecki,138.0,654.0
2000,T_1812,Powiat niżański,51.0,259.0
2000,T_1818,Powiat stalowowolski,133.0,478.0
2000,T_1820,Powiat tarnobrzeski,63.0,254.0
2000,T_1864,Powiat m. Tarnobrzeg,111.0,215.0
2000,T_2002,Powiat białostocki,165.0,534.0
2000,T_2011,Powiat sokólski,72.0,376.0
2000,T_2061,Powiat m. Białystok,431.0,984.0
2000,T_2003,Powiat bielski,87.0,246.0
2000,T_2005,Powiat hajnowski,118.0,160.0
2000,T_2006,Powiat kolneński,34.0,234.0
2000,T_2007,Powiat łomżyński,41.0,237.0
2000,T_2010,Powiat siemiatycki,84.0,152.0
2000,T_2013,Powiat wysokomazowiecki,53.0,289.0
2000,T_2014,Powiat zambrowski,45.0,209.0
2000,T_2062,Powiat m. Łomża,89.0,260.0
2000,T_2001,Powiat augustowski,97.0,274.0
2000,T_2004,Powiat grajewski,83.0,222.0
2000,T_2008,Powiat moniecki,44.0,182.0
2000,T_2009,Powiat sejneński,33.0,86.0
2000,T_2012,Powiat suwalski,40.0,184.0
2000,T_2063,Powiat m. Suwałki,89.0,237.0
2000,T_1431,Powiat Warszawski,3592.0,4451.0
2000,T_1408,Powiat legionowski,161.0,356.0
2000,T_1412,Powiat miński,147.0,658.0
2000,T_1417,Powiat otwocki,125.0,428.0
2000,T_1434,Powiat wołomiński,205.0,845.0
2000,T_1405,Powiat grodziski,129.0,229.0
2000,T_1414,Powiat nowodworski,115.0,339.0
2000,T_1418,Powiat piaseczyński,168.0,461.0
2000,T_1421,Powiat pruszkowski,228.0,464.0
2000,T_1432,Powiat warszawski zachodni,115.0,328.0
2000,T_1402,Powiat ciechanowski,135.0,402.0
2000,T_1413,Powiat mławski,70.0,369.0
2000,T_1420,Powiat płoński,85.0,442.0
2000,T_1424,Powiat pułtuski,46.0,265.0
2000,T_1437,Powiat żuromiński,21.0,229.0
2000,T_1411,Powiat makowski,35.0,278.0
2000,T_1415,Powiat ostrołęcki,67.0,453.0
2000,T_1416,Powiat ostrowski,71.0,387.0
2000,T_1422,Powiat przasnyski,57.0,328.0
2000,T_1435,Powiat wyszkowski,60.0,347.0
2000,T_1461,Powiat m. Ostrołęka,75.0,246.0
2000,T_1401,Powiat białobrzeski,30.0,198.0
2000,T_1407,Powiat kozienicki,56.0,294.0
2000,T_1409,Powiat lipski,51.0,177.0
2000,T_1423,Powiat przysuski,27.0,232.0
2000,T_1425,Powiat radomski,126.0,731.0
2000,T_1430,Powiat szydłowiecki,42.0,206.0
2000,T_1436,Powiat zwoleński,26.0,176.0
2000,T_1463,Powiat m. Radom,345.0,998.0
2000,T_1404,Powiat gostyniński,61.0,234.0
2000,T_1419,Powiat płocki,99.0,480.0
2000,T_1427,Powiat sierpecki,67.0,266.0
2000,T_1462,Powiat m. Płock,222.0,612.0
2000,T_1403,Powiat garwoliński,87.0,578.0
2000,T_1410,Powiat łosicki,21.0,193.0
2000,T_1426,Powiat siedlecki,55.0,378.0
2000,T_1429,Powiat sokołowski,42.0,300.0
2000,T_1433,Powiat węgrowski,62.0,365.0
