year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2001,I_31,Navarra,685.0,2009.0
2001,I_32,Ourense,316.0,884.0
2001,I_33,Asturias,1514.0,3257.0
2001,I_34,Palencia,157.0,523.0
2001,I_35,Las Palmas,1418.0,2482.0
2001,I_36,Pontevedra,1005.0,3194.0
2001,I_37,Salamanca,319.0,1142.0
2001,I_38,Canarias,1146.0,2144.0
2001,I_39,Cantabria,741.0,2001.0
2001,I_40,Segovia,103.0,508.0
2001,I_41,Sevilla,1846.0,8174.0
2001,I_42,Soria,82.0,235.0
2001,I_43,Tarragona,1005.0,2133.0
2001,I_44,Teruel,106.0,379.0
2001,I_45,Toledo,402.0,2453.0
2001,I_46,Valencia,3632.0,9094.0
2001,I_47,Valladolid,571.0,1967.0
2001,I_48,Bizkaia,1674.0,3532.0
2001,I_49,Zamora,128.0,490.0
2001,I_50,Zaragoza,1003.0,3422.0
2001,I_51,Ceuta,156.0,170.0
2001,I_52,Melilla,321.0,114.0
2002,I_01,Alava,498.0,907.0
2002,I_02,Albacete,334.0,1404.0
2002,I_03,Alicante,2262.0,5765.0
2002,I_04,Almeria,713.0,2129.0
2002,I_05,Avila,116.0,513.0
2002,I_06,Badajoz,510.0,2638.0
2002,I_07,Illes Balears,1884.0,2697.0
2002,I_08,Barcelona,10308.0,14623.0
2002,I_09,Burgos,412.0,1128.0
2002,I_10,Caceres,299.0,1332.0
2002,I_11,Cadiz,1433.0,5088.0
2002,I_12,Castellon,754.0,2030.0
2002,I_13,Ciudad Real,286.0,1906.0
2002,I_14,Cordoba,645.0,3437.0
2002,I_15,A Coruna,1338.0,3536.0
2002,I_16,Cuenca,133.0,614.0
2002,I_17,Girona,1123.0,1474.0
2002,I_18,Granada,905.0,3362.0
2002,I_19,Guadalajara,220.0,758.0
2002,I_20,Gipuzkoa,1287.0,2148.0
2002,I_21,Huelva,463.0,1993.0
2002,I_22,Huesca,228.0,590.0
2002,I_23,Jaen,383.0,2818.0
2002,I_24,Leon,523.0,1277.0
2002,I_25,Lleida,583.0,1158.0
2002,I_26,La Rioja,373.0,1007.0
2002,I_27,Lugo,295.0,899.0
2002,I_28,Madrid,8852.0,21169.0
2002,I_29,Malaga,2069.0,5177.0
2002,I_30,Murcia,1378.0,5285.0
2002,I_31,Navarra,829.0,1999.0
2002,I_32,Ourense,363.0,874.0
2002,I_33,Asturias,1620.0,3275.0
2002,I_34,Palencia,178.0,524.0
2002,I_35,Las Palmas,1377.0,2254.0
2002,I_36,Pontevedra,1125.0,3087.0
2002,I_37,Salamanca,356.0,1099.0
2002,I_38,Canarias,1237.0,2100.0
2002,I_39,Cantabria,822.0,2075.0
2002,I_40,Segovia,151.0,535.0
2002,I_41,Sevilla,1909.0,8307.0
2002,I_42,Soria,102.0,260.0
2002,I_43,Tarragona,1152.0,2113.0
2002,I_44,Teruel,121.0,440.0
2002,I_45,Toledo,449.0,2389.0
2002,I_46,Valencia,4100.0,9258.0
2002,I_47,Valladolid,579.0,1917.0
2002,I_48,Bizkaia,1768.0,3384.0
2002,I_49,Zamora,145.0,488.0
2002,I_50,Zaragoza,1181.0,3407.0
2002,I_51,Ceuta,163.0,167.0
2002,I_52,Melilla,269.0,133.0
2003,I_01,Alava,612.0,837.0
2003,I_02,Albacete,432.0,1351.0
2003,I_03,Alicante,2688.0,5425.0
2003,I_04,Almeria,819.0,2106.0
2003,I_05,Avila,131.0,490.0
2003,I_06,Badajoz,571.0,2622.0
2003,I_07,Illes Balears,2204.0,2447.0
2003,I_08,Barcelona,11377.0,12975.0
2003,I_09,Burgos,470.0,1165.0
2003,I_10,Caceres,323.0,1354.0
2003,I_11,Cadiz,1712.0,4892.0
2003,I_12,Castellon,955.0,1908.0
2003,I_13,Ciudad Real,364.0,1854.0
