year,province_code,nuts3_code,harmonised_name,marriages_civil,marriages_religious
2013,IT_067,ITF12,Teramo,286,665
2013,IT_068,ITF13,Pescara,380,644
2013,IT_069,ITF14,Chieti,399,899
2013,IT_070,ITF22,Campobasso,166,462
2013,IT_071,ITF46,Foggia,445,1749
2013,IT_072,ITF47,Bari,1110,3698
2013,IT_073,ITF43,Taranto,500,1621
2013,IT_074,ITF44,Brindisi,418,1149
2013,IT_075,ITF45,Lecce,765,2273
2013,IT_076,ITF51,Potenza,172,1138
2013,IT_077,ITF52,Matera,129,683
2013,IT_078,ITF61,Cosenza,496,2347
2013,IT_079,ITF63,Catanzaro,277,1146
2013,IT_080,ITF65,Reggio di Calabria,424,1982
2013,IT_081,ITG11,Trapani,331,1394
2013,IT_082,ITG12,Palermo,1488,3835
2013,IT_083,ITG13,Messina,642,1825
2013,IT_084,ITG14,Agrigento,313,1432
2013,IT_085,ITG15,Caltanissetta,230,789
2013,IT_086,ITG16,Enna,134,548
2013,IT_087,ITG17,Catania,1488,3011
2013,IT_088,ITG18,Ragusa,334,958
2013,IT_089,ITG19,Siracusa,601,1089
2013,IT_090,ITG2D,Sassari,795,861
2013,IT_091,ITG2E,Nuoro,229,395
2013,IT_092,ITG2F,Cagliari,700,690
2013,IT_093,ITH41,Pordenone,486,363
2013,IT_094,ITF21,Isernia,72,195
2013,IT_095,ITG2G,Oristano,247,283
2013,IT_096,ITC13,Biella,273,197
2013,IT_097,ITC43,Lecco,469,588
2013,IT_098,ITC49,Lodi,296,240
2013,IT_099,ITH59,Rimini,563,494
2013,IT_100,ITI15,Prato,399,325
2013,IT_101,ITF62,Crotone,110,662
2013,IT_102,ITF64,Vibo Valentia,86,608
2013,IT_103,ITC14,VerbanoCusioOssola,325,274
2013,IT_108,ITC4D,Monza e della Brianza,1150,1048
2013,IT_109,ITI35,Fermo,172,332
2013,IT_110,ITF48,BarlettaAndriaTrani,303,1247
2013,IT_111,ITG2H,Sud Sardegna,490,561
2014,IT_001,ITC11,Torino,3298,2628
2014,IT_002,ITC12,Vercelli,268,186
2014,IT_003,ITC15,Novara,650,494
2014,IT_004,ITC16,Cuneo,851,998
2014,IT_005,ITC17,Asti,400,316
2014,IT_006,ITC18,Alessandria,694,539
2014,IT_007,ITC20,Valle dAosta,208,161
2014,IT_008,ITC31,Imperia,369,257
2014,IT_009,ITC32,Savona,559,398
2014,IT_010,ITC33,Genova,1462,1021
2014,IT_011,ITC34,La Spezia,494,304
2014,IT_012,ITC41,Varese,1336,1213
2014,IT_013,ITC42,Como,991,841
2014,IT_014,ITC44,Sondrio,219,267
2014,IT_015,ITC4C,Milano,4529,2749
2014,IT_016,ITC46,Bergamo,1485,1513
2014,IT_017,ITC47,Brescia,1743,1742
2014,IT_018,ITC48,Pavia,896,597
2014,IT_019,ITC4A,Cremona,527,416
2014,IT_020,ITC4B,Mantova,578,456
2014,IT_021,ITH10,Bolzano,1292,745
2014,IT_022,ITH20,Trento,808,688
