,election_date,election_type,harmonised_code,harmonised_name,pc1
205,1999_06_13,european,ITI33,macerata,-0.03282137980135275
206,1999_06_13,european,ITI34,ascoli piceno,-0.0316680564718592
207,1999_06_13,european,ITI35,fermo,-0.05114705672891928
208,1999_06_13,european,ITI41,viterbo,-0.04472469426725755
209,1999_06_13,european,ITI42,rieti,-0.05059370218616786
210,1999_06_13,european,ITI43,roma,-0.06923115897194612
211,1999_06_13,european,ITI44,latina,0.03401895859435138
212,1999_06_13,european,ITI45,frosinone,-0.0006299977580069635
213,2001_05_13,camera,ITC11,torino,0.0072239078409536564
214,2001_05_13,camera,ITC12,vercelli,0.06222261218069618
215,2001_05_13,camera,ITC13,biella,0.0742388018707129
216,2001_05_13,camera,ITC14,verbanocusioossola,0.007478820759495699
217,2001_05_13,camera,ITC15,novara,0.056340337827966554
218,2001_05_13,camera,ITC16,cuneo,0.09691648348887015
219,2001_05_13,camera,ITC17,asti,0.08359497163498991
220,2001_05_13,camera,ITC18,alessandria,0.023314457012211704
221,2001_05_13,camera,ITC31,imperia,0.10014981141978868
222,2001_05_13,camera,ITC32,savona,-0.003968350618912329
223,2001_05_13,camera,ITC33,genova,-0.07591755657995165
224,2001_05_13,camera,ITC34,la spezia,-0.0853979027831166
225,2001_05_13,camera,ITC41,varese,0.14115487256409884
226,2001_05_13,camera,ITC42,como,0.16080681175885173
227,2001_05_13,camera,ITC43,lecco,0.1313605773444065
228,2001_05_13,camera,ITC44,sondrio,0.19000725702240975
229,2001_05_13,camera,ITC46,bergamo,0.14251278536255022
230,2001_05_13,camera,ITC47,brescia,0.1210444281060322
231,2001_05_13,camera,ITC48,pavia,0.0470587093164337
232,2001_05_13,camera,ITC49,lodi,0.05793110507214106
233,2001_05_13,camera,ITC4A,cremona,0.04195633127510023
234,2001_05_13,camera,ITC4B,mantova,-0.04532287160287214
235,2001_05_13,camera,ITC4C,milano,0.05731776462067612
236,2001_05_13,camera,ITC4D,monza e della brianza,0.1040114123989882
237,2001_05_13,camera,ITF11,laquila,-0.011372002380285417
238,2001_05_13,camera,ITF12,teramo,-0.04558329715865666
239,2001_05_13,camera,ITF13,pescara,-0.027452668953984308
240,2001_05_13,camera,ITF14,chieti,-0.00590740243077483
241,2001_05_13,camera,ITF21,isernia,0.027507710889539724
242,2001_05_13,camera,ITF22,campobasso,-0.023697357039412493
243,2001_05_13,camera,ITF31,caserta,0.0451236512641039
244,2001_05_13,camera,ITF32,benevento,0.03268468133921487
245,2001_05_13,camera,ITF33,napoli,0.014999183941194571
246,2001_05_13,camera,ITF34,avellino,0.011820471476579504
247,2001_05_13,camera,ITF35,salerno,0.05805785804976789
248,2001_05_13,camera,ITF43,taranto,0.02796523375569539
249,2001_05_13,camera,ITF44,brindisi,0.030056274938244407
250,2001_05_13,camera,ITF45,lecce,0.007501536949639819
251,2001_05_13,camera,ITF46,foggia,-0.018662363460563915
252,2001_05_13,camera,ITF47,bari,0.04635244142675827
253,2001_05_13,camera,ITF48,barlettaandriatrani,0.05512419231679953
254,2001_05_13,camera,ITF51,potenza,-0.010789300784883849
255,2001_05_13,camera,ITF52,matera,-0.023396185832407167
256,2001_05_13,camera,ITF61,cosenza,-0.042439890013754575
257,2001_05_13,camera,ITF62,crotone,-0.09073573652527858
258,2001_05_13,camera,ITF63,catanzaro,-0.025734154754291062
259,2001_05_13,camera,ITF64,vibo valentia,-0.043819757930458725
260,2001_05_13,camera,ITF65,reggio calabria,0.0010734003885961
261,2001_05_13,camera,ITG11,trapani,0.07200338465083186
262,2001_05_13,camera,ITG12,palermo,0.09591374460486428
263,2001_05_13,camera,ITG13,messina,0.0964478351436661
264,2001_05_13,camera,ITG14,agrigento,0.04041943322437703
265,2001_05_13,camera,ITG15,caltanissetta,0.059954227754089824
266,2001_05_13,camera,ITG16,enna,0.023785772999564928
267,2001_05_13,camera,ITG17,catania,0.10856970017171612
268,2001_05_13,camera,ITG18,ragusa,0.05519846563234038
269,2001_05_13,camera,ITG19,siracusa,0.06733716677689379
270,2001_05_13,camera,ITG2D,sassari,0.002481055678971622
271,2001_05_13,camera,ITG2E,nuoro,-0.07801848957194311
272,2001_05_13,camera,ITG2F,cagliari,0.03735947840374016
273,2001_05_13,camera,ITG2G,oristano,0.054795076837012124
274,2001_05_13,camera,ITG2H,sud sardegna,-0.03705235474442079
275,2001_05_13,camera,ITH10,bolzano,-0.0032286518860189656
276,2001_05_13,camera,ITH20,trento,0.02049165029314573
277,2001_05_13,camera,ITH31,verona,0.1140106734088106
278,2001_05_13,camera,ITH32,vicenza,0.14083751652664733
279,2001_05_13,camera,ITH33,belluno,0.1498228268269062
280,2001_05_13,camera,ITH34,treviso,0.12669037559028365
281,2001_05_13,camera,ITH35,venezia,0.02640258961119575
282,2001_05_13,camera,ITH36,padova,0.10581777428334342
283,2001_05_13,camera,ITH37,rovigo,0.006448745937067353
284,2001_05_13,camera,ITH41,pordenone,0.10211393636258595
285,2001_05_13,camera,ITH42,udine,0.07645524342072747
286,2001_05_13,camera,ITH43,gorizia,0.02759078301104143
287,2001_05_13,camera,ITH44,trieste,0.09985701644570759
288,2001_05_13,camera,ITH51,piacenza,0.04069385317719164
289,2001_05_13,camera,ITH52,parma,-0.011133082760641464
290,2001_05_13,camera,ITH53,reggio nellemilia,-0.16991846428783358
291,2001_05_13,camera,ITH54,modena,-0.13077606650797494
292,2001_05_13,camera,ITH55,bologna,-0.17845297300665727
293,2001_05_13,camera,ITH56,ferrara,-0.09762692587979115
294,2001_05_13,camera,ITH57,ravenna,-0.15965288942600495
295,2001_05_13,camera,ITH58,forlicesena,-0.11221617345955831
296,2001_05_13,camera,ITH59,rimini,-0.08703508530233792
297,2001_05_13,camera,ITI11,massacarrara,-0.06404661411498325
298,2001_05_13,camera,ITI12,lucca,-0.01962826500180306
299,2001_05_13,camera,ITI13,pistoia,-0.1497960132846622
