,election_date,election_type,harmonised_code,harmonised_name,pc1
319,2000_10_08,president_a,T_2862,Olsztyn,0.03051191497349809
320,2000_10_08,president_a,T_3001,chodzieski,0.1613458620989736
321,2000_10_08,president_a,T_3002,czarnkowsko-trzcianecki,0.12933139357204926
322,2000_10_08,president_a,T_3003,gnieźnieński,0.13076244256501957
323,2000_10_08,president_a,T_3004,gostyński,0.11263065735462913
324,2000_10_08,president_a,T_3005,grodziski,0.10555945925684423
325,2000_10_08,president_a,T_3006,jarociński,0.1322737661547727
326,2000_10_08,president_a,T_3007,kaliski,-0.00047407159827761447
327,2000_10_08,president_a,T_3008,kępiński,0.03948616616694045
328,2000_10_08,president_a,T_3009,kolski,0.0554935872635513
329,2000_10_08,president_a,T_3010,koniński,0.061882527818670374
330,2000_10_08,president_a,T_3011,kościański,0.121356110773569
331,2000_10_08,president_a,T_3012,krotoszyński,0.07960802563497155
332,2000_10_08,president_a,T_3013,leszczyński,0.12578528835748026
333,2000_10_08,president_a,T_3014,międzychodzki,0.17406197598729223
334,2000_10_08,president_a,T_3015,nowotomyski,0.11914261942144355
335,2000_10_08,president_a,T_3016,obornicki,0.1589700131393279
336,2000_10_08,president_a,T_3017,ostrowski,0.06186803081173886
337,2000_10_08,president_a,T_3018,ostrzeszowski,0.06376792995222114
338,2000_10_08,president_a,T_3019,pilski,0.09563219228626207
339,2000_10_08,president_a,T_3020,pleszewski,0.09107274618392791
340,2000_10_08,president_a,T_3021,poznański,0.04317178428814089
341,2000_10_08,president_a,T_3022,rawicki,0.14232988100187594
342,2000_10_08,president_a,T_3023,słupecki,0.10363865259111449
343,2000_10_08,president_a,T_3024,szamotulski,0.15021973306881786
344,2000_10_08,president_a,T_3025,średzki,0.13740881559467333
345,2000_10_08,president_a,T_3026,śremski,0.12673785128196557
346,2000_10_08,president_a,T_3027,turecki,0.06303699970558746
347,2000_10_08,president_a,T_3028,wągrowiecki,0.13044957924331868
348,2000_10_08,president_a,T_3029,wolsztyński,0.12693992836181978
349,2000_10_08,president_a,T_3030,wrzesiński,0.1050064813709366
350,2000_10_08,president_a,T_3031,złotowski,0.07406712682299682
351,2000_10_08,president_a,T_3061,Kalisz,0.08810646254761106
